mode;car_cost;car_time;car_ok;pass_cost;pass_time;pass_ok;bus_cost;bus_g_time;bus_w_time;bus_time;bus_ok;train_cost;train_g_time;train_w_time;train_time;train_ok;walk_time;walk_ok;bike_time;bike_ok;id
1;70.37;58.16;1;70.37;58.16;1;48.37;20.91;75.33;127.8;1;48.12;11.78;30.81;68.48;1;452.46;1;213.25;1;165
1;9.48;16.87;1;9.48;16.87;1;0;0;0;0;0;0;0;0;0;0;61.34;1;28.36;1;166
6;4.65;11.67;1;4.65;11.67;1;0;0;0;0;0;0;0;0;0;0;29.27;1;13.58;1;167
1;9.2;24;1;9.2;24;1;19.16;16.28;22.99;39.4;1;0;0;0;0;0;116.08;1;55.23;1;168
3;43.57;56.79;1;43.57;56.79;1;19.97;19.23;22.32;77.45;1;0;0;0;0;0;322.82;1;153.09;1;169
1;46.28;47.35;1;46.28;47.35;1;34.92;41.64;16.4;66.14;1;0;0;0;0;0;355.18;1;169.7;1;170
1;22;21.35;1;22;21.35;1;0;0;0;0;0;0;0;0;0;0;138.61;1;63.3;1;171
1;45.8;65.24;1;45.8;65.24;1;19.43;26.4;46.52;34.88;1;0;0;0;0;0;300.76;1;137.98;1;172
1;30.41;34.22;1;30.41;34.22;1;54.78;191.69;356.44;25.97;1;0;0;0;0;0;392.13;1;174.72;1;173
1;22.75;71.66;1;22.75;71.66;1;39.42;45.38;144.18;173;1;0;0;0;0;0;0;0;291.67;1;174
2;6.97;18.97;1;6.97;18.97;1;0;0;0;0;0;0;0;0;0;0;86;1;40.28;1;175
1;119.7;95.87;1;119.7;95.87;1;0;0;0;0;0;37.6;49.14;66.67;80.75;1;0;0;0;0;176
1;18.7;23.06;1;18.7;23.06;1;38.61;29.48;119.75;99.12;1;38.29;29;40.48;34.91;1;225.84;1;107.99;1;177
1;4.27;18.72;1;4.27;18.72;1;24.83;10.48;4.65;20.45;1;0;0;0;0;0;50.18;1;24.33;1;178
2;8.8;22.78;1;8.8;22.78;1;25.14;13.29;9.22;16.13;1;0;0;0;0;0;60.92;1;27.7;1;179
1;3.66;16.87;1;3.66;16.87;1;0;0;0;0;0;0;0;0;0;0;74.22;1;34.17;1;180
1;18.56;30.91;1;18.56;30.91;1;41.66;47.71;136.57;76.65;1;40.51;139.99;79.63;48.53;1;235.83;1;112.93;1;181
6;8.81;9.27;1;8.81;9.27;1;20.15;100.41;37.94;46.71;1;0;0;0;0;0;60.51;1;28.38;1;182
1;10.26;51.09;1;10.26;51.09;1;29.4;19.24;29.18;61.13;1;0;0;0;0;0;261.5;1;125.03;1;183
2;17.21;27.89;1;17.21;27.89;1;82.34;39.75;36.35;45.68;1;0;0;0;0;0;337.86;1;155.88;1;184
6;1.71;1.82;1;1.71;1.82;1;0;0;0;0;0;0;0;0;0;0;6.48;1;3.26;1;185
1;89.61;64.59;1;89.61;64.59;1;39.14;164.01;147.69;135.42;1;0;0;0;0;0;745.78;1;356.08;1;186
1;4.06;21.22;1;4.06;21.22;1;0;0;0;0;0;0;0;0;0;0;103.43;1;48;1;187
4;118.06;75.99;1;118.06;75.99;1;0;0;0;0;0;33.93;259.9;105.94;49.07;1;0;0;451.31;1;188
1;7.26;11.63;1;7.26;11.63;1;13.13;9.92;5.88;12.96;1;0;0;0;0;0;46.54;1;20.94;1;189
2;43.24;39.19;1;43.24;39.19;1;0;0;0;0;0;0;0;0;0;0;337.87;1;161.66;1;190
1;48.02;32.59;1;48.02;32.59;1;25.23;180.24;30.42;51.42;1;0;0;0;0;0;348.55;1;157.88;1;191
1;15.07;21.67;1;15.07;21.67;1;16.07;21.49;31;29.06;1;0;0;0;0;0;98.83;1;44.2;1;192
6;11.3;22.15;1;11.3;22.15;1;0;0;0;0;0;0;0;0;0;0;73.1;1;35.06;1;193
